icao24,typecode,icaoaircrafttype
48ac80,E295,L2J
502d7a,BCS3,L2J
4b193a,A320,L2J
4b194c,A21N,L2J
502d95,BCS3,L2J
502d88,BCS3,L2J
4b028b,E290,L2J
4b0291,E290,L2J
4b0290,E290,L2J
4b0292,E290,L2J
4b0293,E295,L2J
4b028c,E290,L2J
4b028d,E290,L2J
4864ea,E295,L2J
486482,E295,L2J
4b0294,E295,L2J
4b0295,E295,L2J
4b1818,A20N,L2J
502d7c,BCS3,L2J
39e690,BCS3,L2J
05a0a6,A319,L2J
4c01f2,A320,L2J
4bc88c,A21N,L2J
4b19fd,E190,L2J
4b19e6,E195,L2J
4b19ef,E195,L2J
4b19fc,E195,L2J
4b19ff,E195,L2J
4b19fe,E190,L2J
4b194d,A21N,L2J
4b1942,A320,L2J
502d7d,BCS3,L2J
4b3778,PC24,L2J
4b0dd0,PC12,L1T
3c75a5,E145,L2J
440c6f,A21N,L2J
4cadea,A20N,L2J
4d2507,A320,L2J
494119,E55P,L2J
4b19c0,FA6X,L2J
4d2494,A320,L2J
4cade8,A20N,L2J
4d24ba,A20N,L2J
4401d4,E55P,L2J
4d2411,A310,L2J
502d5f,BCS3,L2J
4b193f,A320,L2J
502d5d,A320,L2J
4b3810,PC24,L2J
440da4,C56X,L2J
452135,A320,L2J
4d24de,A20N,L2J
4b1f30,DA42,L2T
4b0e4a,PC12,L1T
4b37b7,SF50,L1J
502d89,BCS3,L2J
39bda0,BCS3,L2J
39e697,BCS3,L2J
46b8a8,A20N,L2J
39e699,BCS3,L2J
502d5e,BCS3,L2J
39bda6,BCS3,L2J
3c4dc9,CRJ9,L2J
46b8b0,A20N,L2J
46b8ab,A20N,L2J
46b8b2,A20N,L2J
4bb1ed,A332,L2J
4b18d9,CL35,L2J
39bdaa,BCS3,L2J
46b8b1,A20N,L2J
4d2006,A320,L2J
7c01aa,PC12,L1T
48e0e0,PRM1,L2J
4cad59,BCS3,L2J
4bc889,A21N,L2J
7cac71,C25C,L2J
494141,E55P,L2J
4cadcc,A20N,L2J
3ce690,PC24,L2J
490d84,CL60,L2J
48af09,B38M,L2J
4bce1a,B738,L2J
4d2509,A320,L2J
4acaaf,A20N,L2J
4bc890,A21N,L2J
39bda8,BCS3,L2J
49d127,M600,L1T
4bce13,B738,L2J
4bb202,A21N,L2J
34750d,B738,L2J
4bc893,A21N,L2J
3e1f3f,BE20,L2T
501c2b,C25A,L2J
440daf,A320,L2J
486484,E295,L2J
4864eb,E295,L2J
486492,E295,L2J
3d5d4b,PC12,L1T
39e698,BCS3,L2J
4bc887,A21N,L2J
